Data Set 1:Time(s),Data Set 1:Force 1(N),Data Set 1:Respiration Rate 1(bpm),Data Set 1:Heart Rate(bpm),Data Set 1:Force 2(N),Data Set 1:Respiration Rate 2(bpm)
0.000000000000,2.589355468750,9.077156066895,78.000000000000,,
0.100000000000,3.049255371094,,,,
0.200000000000,3.414619445801,,,,
0.300000000000,3.263870239258,,,,
0.400000000000,3.187225341797,,,,
0.500000000000,3.284309387207,,,,
0.600000000000,3.447830200195,,,,
0.700000000000,3.486160278320,,,,
0.800000000000,3.440170288086,,,,
0.900000000000,3.378845214844,,,,
1.000000000000,3.225547790527,,78.000000000000,,
1.100000000000,3.000709533691,,,,
1.200000000000,2.627677917480,,,,
1.300000000000,2.170333862305,,,,
1.400000000000,1.858619689941,,,,
1.500000000000,1.644004821777,,,,
1.600000000000,1.531585693359,,,,
1.700000000000,1.513694763184,,,,
1.800000000000,1.493255615234,,,,
1.900000000000,1.403831481934,,,,
2.000000000000,1.253089904785,,78.000000000000,,
2.100000000000,1.148330688477,,,,
2.200000000000,1.168769836426,,,,
2.300000000000,1.191764831543,,,,
2.400000000000,1.204544067383,,,,
2.500000000000,1.242866516113,,,,
2.600000000000,1.342514038086,,,,
2.700000000000,1.411499023438,,,,
2.800000000000,1.378280639648,,,,
2.900000000000,1.250534057617,,,,
3.000000000000,1.112564086914,,77.600000000000,,
3.100000000000,1.064018249512,,,,
3.200000000000,1.023139953613,,,,
3.300000000000,0.941375732422,,,,
3.400000000000,0.836624145508,,,,
3.500000000000,0.765083312988,,,,
3.600000000000,0.770195007324,,,,
3.700000000000,0.895385742188,,,,
3.800000000000,1.046134948730,,,,
3.900000000000,1.084457397461,,,,
4.000000000000,1.061462402344,,77.500000000000,,
4.100000000000,1.061462402344,,,,
4.200000000000,1.153442382812,,,,
4.300000000000,1.304191589355,,,,
4.400000000000,1.426826477051,,,,
4.500000000000,1.534141540527,,,,
4.600000000000,1.666999816895,,,,
4.700000000000,1.848403930664,,,,
4.800000000000,2.045135498047,,,,
4.900000000000,2.129455566406,,,,
5.000000000000,2.103904724121,,77.428571428571,,
5.100000000000,1.999145507812,,,,
5.200000000000,1.940383911133,,,,
5.300000000000,2.001701354980,,,,
5.400000000000,2.029808044434,,,,
