Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm)
0.000000000000,19.127868652344,8.595988273621
0.100000000000,19.263282775879,
0.200000000000,19.454906463623,
0.300000000000,19.498340606689,
0.400000000000,19.500896453857,
0.500000000000,19.534111022949,
0.600000000000,19.480457305908,
0.700000000000,19.373146057129,
0.800000000000,19.383365631104,
0.900000000000,19.460018157959,
1.000000000000,19.485569000244,
1.100000000000,19.511116027832,
1.200000000000,19.534111022949,
1.300000000000,19.513671875000,
1.400000000000,19.462574005127,
1.500000000000,19.401252746582,
1.600000000000,19.362926483154,
1.700000000000,19.345043182373,
1.800000000000,19.345043182373,
1.900000000000,19.452350616455,
2.000000000000,19.774280548096,
2.100000000000,20.387481689453,
2.200000000000,21.731410980225,
2.300000000000,24.179103851318,
2.400000000000,25.096347808838,
2.500000000000,22.362495422363,
2.600000000000,20.484573364258,
2.700000000000,19.797275543213,
2.800000000000,18.072650909424,
2.900000000000,18.172298431396,
3.000000000000,18.759948730469,
3.100000000000,19.127868652344,
3.200000000000,20.200965881348,
3.300000000000,22.472362518311,
3.400000000000,25.249645233154,
3.500000000000,27.569587707520,
3.600000000000,29.835872650146,
3.700000000000,32.229907989502,
3.800000000000,33.198253631592,
3.900000000000,31.511951446533,
4.000000000000,30.298328399658,
4.100000000000,29.892082214355,
4.200000000000,28.686122894287,
4.300000000000,27.807201385498,
4.400000000000,28.908405303955,
4.500000000000,30.305992126465,
4.600000000000,27.592582702637,
4.700000000000,24.191875457764,
4.800000000000,24.294078826904,
4.900000000000,24.388610839844,
5.000000000000,23.752418518066,
5.100000000000,22.939926147461,
5.200000000000,23.415157318115,
5.300000000000,23.384498596191,
5.400000000000,22.099330902100,
5.500000000000,21.836166381836,
5.600000000000,21.437587738037,
5.700000000000,20.354267120361,
5.800000000000,19.720626831055,
5.900000000000,19.130420684814,
6.000000000000,17.904022216797,
6.100000000000,18.215732574463,
6.200000000000,18.632198333740,
6.300000000000,17.446678161621,
6.400000000000,17.058319091797,
6.500000000000,17.106861114502,
6.600000000000,17.249942779541,
6.700000000000,17.349586486816,
6.800000000000,17.308708190918,
6.900000000000,18.052211761475,
7.000000000000,18.057323455811,
7.100000000000,17.474781036377,
7.200000000000,17.239723205566,
7.300000000000,17.679183959961,
7.400000000000,16.945896148682,
7.500000000000,16.721054077148,
7.600000000000,17.615306854248,
7.700000000000,17.339366912842,
7.800000000000,17.037876129150,
7.900000000000,15.811477661133,
8.000000000000,14.983657836914,
8.100000000000,15.681175231934,
8.200000000000,15.678619384766,
8.300000000000,15.494659423828,
8.400000000000,15.745048522949,
8.500000000000,14.385787963867,
8.600000000000,13.936103820801,
8.700000000000,15.494659423828,
8.800000000000,15.535537719727,
8.900000000000,14.975990295410,
9.000000000000,14.863571166992,
9.100000000000,15.244270324707,
9.200000000000,14.804809570312,
9.300000000000,15.193168640137,
9.400000000000,16.486000061035,
9.500000000000,16.623970031738,
9.600000000000,17.147743225098,
9.700000000000,17.947456359863,
9.800000000000,19.495788574219,
9.900000000000,21.447807312012,
10.000000000000,25.259868621826,15.748030662537
10.100000000000,30.875755310059,
10.200000000000,34.603500366211,
10.300000000000,36.277027130127,
10.400000000000,37.015422821045,
10.500000000000,36.655166625977,
10.600000000000,35.239696502686,
10.700000000000,34.322452545166,
10.800000000000,31.900310516357,
10.900000000000,28.113803863525,
11.000000000000,26.897621154785,
11.100000000000,25.295635223389,
11.200000000000,23.757526397705,
11.300000000000,24.524028778076,
11.400000000000,24.769306182861,
11.500000000000,24.097343444824,
11.600000000000,24.386058807373,
11.700000000000,24.751422882080,
11.800000000000,24.128002166748,
11.900000000000,24.534248352051,
12.000000000000,25.395282745361,
12.100000000000,26.294643402100,
12.200000000000,27.996273040771,
12.300000000000,27.582363128662,
12.400000000000,27.595138549805,
12.500000000000,27.669231414795,
12.600000000000,26.391731262207,
12.700000000000,26.675338745117,
12.800000000000,27.436725616455,
12.900000000000,27.383071899414,
13.000000000000,28.650352478027,
13.100000000000,31.011173248291,
13.200000000000,31.440410614014,
13.300000000000,30.574268341064,
13.400000000000,29.892082214355,
13.500000000000,28.946731567383,
13.600000000000,28.193008422852,
13.700000000000,27.878742218018,
13.800000000000,26.997268676758,
13.900000000000,25.990596771240,
14.000000000000,24.342620849609,
14.100000000000,22.587337493896,
14.200000000000,22.607776641846,
14.300000000000,22.715087890625,
14.400000000000,22.382938385010,
14.500000000000,22.579673767090,
14.600000000000,23.085563659668,
14.700000000000,22.633327484131,
14.800000000000,21.948585510254,
14.900000000000,22.365051269531,
15.000000000000,21.493797302246,
15.100000000000,21.251071929932,
15.200000000000,22.132545471191,
15.300000000000,22.362495422363,
15.400000000000,20.995571136475,
15.500000000000,20.673641204834,
15.600000000000,21.859161376953,
15.700000000000,21.565338134766,
15.800000000000,21.422256469727,
15.900000000000,21.588333129883,
16.000000000000,22.209197998047,
16.100000000000,22.129993438721,
16.200000000000,22.066116333008,
16.300000000000,22.405933380127,
16.400000000000,22.020126342773,
16.500000000000,22.515796661377,
16.600000000000,23.289962768555,
16.700000000000,24.219982147217,
16.800000000000,24.631336212158,
16.900000000000,23.307846069336,
17.000000000000,22.730415344238,
17.100000000000,22.526016235352,
17.200000000000,21.708415985107,
17.300000000000,21.445251464844,
17.400000000000,21.069667816162,
17.500000000000,20.811611175537,
17.600000000000,20.571441650391,
17.700000000000,20.165195465088,
17.800000000000,20.918922424316,
17.900000000000,21.455471038818,
18.000000000000,20.793727874756,
18.100000000000,20.944473266602,
