Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm)
0.000000000000,6.672241210938,0.000000000000
0.100000000000,6.618591308594,
0.200000000000,6.639030456543,
0.300000000000,6.685020446777,
0.400000000000,6.748893737793,
0.500000000000,6.779556274414,
0.600000000000,6.649246215820,
0.700000000000,6.478065490723,
0.800000000000,6.388641357422,
0.900000000000,6.378417968750,
1.000000000000,6.365646362305,
1.100000000000,7.203681945801,
1.200000000000,8.220573425293,
1.300000000000,8.138809204102,
1.400000000000,8.529724121094,
1.500000000000,9.924758911133,
1.600000000000,11.373443603516,
1.700000000000,13.167053222656,
1.800000000000,15.946891784668,
1.900000000000,18.685852050781,
2.000000000000,19.886703491211,
2.100000000000,19.585212707520,
2.200000000000,18.591316223145,
2.300000000000,20.277618408203,
2.400000000000,20.453910827637,
2.500000000000,20.954692840576,
2.600000000000,21.595996856689,
2.700000000000,22.099330902100,
2.800000000000,22.702312469482,
2.900000000000,23.369167327881,
3.000000000000,24.110118865967,
3.100000000000,24.986480712891,
3.200000000000,25.798973083496,
3.300000000000,21.309837341309,
3.400000000000,16.368469238281,
3.500000000000,15.788482666016,
3.600000000000,15.341354370117,
3.700000000000,14.881454467773,
3.800000000000,14.385787963867,
3.900000000000,13.923332214355,
4.000000000000,13.660163879395,
4.100000000000,13.882453918457,
4.200000000000,14.697494506836,
4.300000000000,15.867691040039,
4.400000000000,16.915237426758,
4.500000000000,17.679183959961,
4.600000000000,18.384361267090,
4.700000000000,19.005226135254,
4.800000000000,19.498340606689,
4.900000000000,19.991458892822,
5.000000000000,20.267398834229,
5.100000000000,19.733402252197,
5.200000000000,18.637306213379,
5.300000000000,17.536102294922,
5.400000000000,14.375564575195,
5.500000000000,14.853355407715,
5.600000000000,15.323471069336,
5.700000000000,15.893234252930,
5.800000000000,16.450225830078,
5.900000000000,16.953563690186,
6.000000000000,17.280601501465,
6.100000000000,17.479892730713,
6.200000000000,17.786491394043,
6.300000000000,17.766052246094,
6.400000000000,17.270381927490,
6.500000000000,13.647392272949,
6.600000000000,12.635612487793,
6.700000000000,12.814460754395,
6.800000000000,13.154273986816,
6.900000000000,13.394447326660,
7.000000000000,13.639724731445,
7.100000000000,14.081741333008,
7.200000000000,14.541641235352,
7.300000000000,15.011764526367,
7.400000000000,15.509986877441,
7.500000000000,15.974998474121,
7.600000000000,14.434333801270,
7.700000000000,12.689270019531,
7.800000000000,12.645835876465,
7.900000000000,12.714820861816,
8.000000000000,13.021415710449,
8.100000000000,13.588630676270,
8.200000000000,14.212043762207,
8.300000000000,14.820137023926,
8.400000000000,15.392456054688,
8.500000000000,15.860023498535,
8.600000000000,16.381240844727,
8.700000000000,17.004661560059,
8.800000000000,17.490112304688,
8.900000000000,17.694511413574,
9.000000000000,17.640857696533,
9.100000000000,17.283157348633,
9.200000000000,16.721054077148,
9.300000000000,16.112968444824,
9.400000000000,15.517654418945,
9.500000000000,15.011764526367,
9.600000000000,14.536529541016,
9.700000000000,13.547744750977,
9.800000000000,15.739936828613,
9.900000000000,16.429786682129,
10.000000000000,17.004661560059,21.660650253296
10.100000000000,17.216728210449,
10.200000000000,16.974002838135,
10.300000000000,16.465560913086,
10.400000000000,15.893234252930,
10.500000000000,15.410339355469,
10.600000000000,15.057754516602,
10.700000000000,14.881454467773,
10.800000000000,14.784370422363,
10.900000000000,14.572303771973,
11.000000000000,14.416450500488,
11.100000000000,14.508430480957,
11.200000000000,14.891677856445,
11.300000000000,15.492103576660,
11.400000000000,16.077194213867,
11.500000000000,16.590751647949,
11.600000000000,17.081314086914,
11.700000000000,17.602531433105,
11.800000000000,19.812606811523,
11.900000000000,16.041427612305,
12.000000000000,15.568756103516,
12.100000000000,15.244270324707,
12.200000000000,15.001541137695,
12.300000000000,14.738380432129,
12.400000000000,14.574859619141,
12.500000000000,14.590187072754,
12.600000000000,14.799697875977,
12.700000000000,15.142066955566,
12.800000000000,15.461441040039,
12.900000000000,15.752716064453,
13.000000000000,16.110412597656,
13.100000000000,16.531990051270,
13.200000000000,16.945896148682,
13.300000000000,17.119636535645,
13.400000000000,16.884578704834,
13.500000000000,16.327590942383,
13.600000000000,15.642845153809,
13.700000000000,14.991325378418,
13.800000000000,14.485435485840,
13.900000000000,13.335685729980,
14.000000000000,16.912681579590,
14.100000000000,17.599975585938,
14.200000000000,18.090538024902,
14.300000000000,18.453346252441,
14.400000000000,18.811046600342,
14.500000000000,19.069103240967,
14.600000000000,19.278614044189,
14.700000000000,19.592876434326,
14.800000000000,19.807498931885,
14.900000000000,19.978683471680,
15.000000000000,19.965908050537,
15.100000000000,15.931564331055,
15.200000000000,15.693946838379,
15.300000000000,15.405235290527,
15.400000000000,15.060310363770,
15.500000000000,14.641288757324,
15.600000000000,14.283584594727,
15.700000000000,14.051078796387,
15.800000000000,13.816024780273,
15.900000000000,13.621841430664,
16.000000000000,13.509422302246,
16.100000000000,13.460876464844,
16.200000000000,13.501754760742,
16.300000000000,13.665275573730,
16.400000000000,14.020423889160,
16.500000000000,14.500762939453,
16.600000000000,15.009208679199,
16.700000000000,15.474220275879,
16.800000000000,15.826805114746,
16.900000000000,16.194725036621,
17.000000000000,16.685287475586,
17.100000000000,18.693515777588,
17.200000000000,16.823257446289,
17.300000000000,16.335250854492,
17.400000000000,15.929008483887,
17.500000000000,15.681175231934,
17.600000000000,15.512542724609,
17.700000000000,15.272369384766,
17.800000000000,14.914672851562,
17.900000000000,14.567192077637,
18.000000000000,14.319358825684,
18.100000000000,14.015312194824,
