sig_cutted,sig_cutted2
189.3393,30.83616
178.9708,28.60248
165.0084,28.16654
156.2509,26.17786
137.8392,24.38072
139.1553,25.06482
135.2735,25.01731
153.1452,26.05991
176.2687,29.03776
197.6417,32.03815
211.6935,34.2685
235.2146,37.89831
222.0943,37.55051
212.6553,36.5764
200.4923,34.0106
181.3044,31.59386
163.9392,28.33904
151.8059,26.83796
141.1169,26.96718
129.1303,27.25934
136.1954,28.19801
147.7191,28.36693
164.4896,28.43029
186.3492,29.11101
212.0132,28.60403
213.7294,29.60945
207.5344,30.5384
203.6324,30.96388
190.1409,30.13534
180.3546,30.46919
167.1682,30.39489
179.0706,31.33786
181.6443,32.45609
175.4925,34.08235
177.095,35.60009
166.2774,37.92667
146.0036,36.62722
129.5709,35.84543
114.7021,35.03943
112.0505,32.23026
116.8297,31.68662
134.6086,30.48475
152.4151,31.15862
163.142,31.55295
163.859,30.93153
147.1621,30.95449
118.0277,29.21646
95.76327,28.72348
84.10331,29.37827
87.45694,30.46186
109.8651,30.27073
143.1681,32.17439
189.5538,33.29916
213.5534,31.94866
236.4491,33.42737
244.7004,33.29051
236.8848,31.84328
219.7325,31.51777
208.4482,29.83733
208.1332,28.7456
194.1752,29.82221
188.2976,29.25703
181.3353,29.43488
166.0842,28.04449
171.2618,29.53514
160.7448,27.97514
163.4825,27.31194
178.2651,28.11506
174.3828,28.05895
163.8234,25.75804
167.886,25.6502
157.4683,25.42458
143.9487,24.08348
141.9792,24.48186
129.7972,23.58252
127.4423,24.19006
122.1209,24.11281
124.9477,24.09866
125.4041,26.0207
132.6354,26.39745
135.9732,27.01678
132.4953,26.48472
138.227,28.17528
131.9604,26.93908
130.4397,26.52785
129.9881,26.60011
122.8683,26.05117
130.6468,24.94012
133.4954,25.76296
146.4619,26.48265
162.6532,26.86471
173.3905,27.73167
166.3863,27.04795
165.7635,25.73868
145.7769,24.6259
126.7842,23.61299
121.1663,23.90777
119.5048,23.33017
115.5565,24.46095
126.9147,24.09982
129.52,23.6579
127.5453,23.98991
138.0323,23.45663
143.4073,24.36235
140.8433,25.11553
141.6266,26.23746
136.3077,28.44411
132.8078,29.39592
130.1625,31.19213
130.9816,31.82903
135.7846,30.11247
149.211,30.56043
143.1699,30.04721
148.5085,27.30936
146.959,28.47165
142.2466,29.93567
141.2936,29.5443
131.8093,31.90906
122.5881,32.26492
117.1905,32.895
107.5899,32.32625
105.521,31.84592
115.4781,30.66823
142.3731,31.1598
154.5167,30.75316
185.125,31.03735
200.9512,31.8759
205.0666,31.056
196.3481,29.23863
172.893,28.1595
159.175,26.55088
140.0355,24.5542
121.131,24.81041
128.3386,23.67795
133.3213,24.46285
131.5313,23.77387
145.747,23.58278
158.114,24.6455
166.1908,25.11104
177.5355,25.7897
191.6963,26.46998
181.9869,28.04063
189.5364,27.52717
174.2458,27.16398
172.2482,27.02229
179.5047,25.2393
188.5396,24.2209
205.3257,24.18779
220.7289,23.37186
209.1793,24.95303
201.0253,25.87345
173.259,26.30204
142.5101,27.26657
119.9524,27.84169
111.5663,27.07203
107.232,27.40255
117.7906,26.23833
136.8566,24.53372
161.2453,24.29906
182.9678,24.41385
214.318,24.89571
221.9157,25.84304
227.4326,26.76855
228.288,28.5966
205.6039,27.95964
186.4728,28.54473
168.2943,28.3723
159.1491,29.37784
150.4633,29.36296
140.0404,28.69756
144.3155,28.6334
143.1416,29.93881
140.5299,27.1639
144.6862,28.49152
168.7314,29.58587
174.8087,29.0435
194.5648,31.0386
218.8813,31.88405
236.9391,31.81348
244.5496,31.5759
238.9849,30.64398
234.0147,30.12109
217.1319,28.20893
177.2379,28.0105
167.5406,26.92505
153.2051,25.97904
146.7169,26.43965
162.4672,26.28009
170.8654,26.75691
172.2787,27.81001
170.1919,28.59152
160.1895,27.77769
146.7228,27.13558
136.7644,26.59214
144.0153,25.93587
149.5239,24.64987
155.9922,25.29263
171.5063,26.54421
178.8378,27.39771
169.9853,28.10595
181.7329,28.58377
175.852,29.74855
182.9239,29.24303
181.9014,27.21021
182.4397,26.92333
185.131,26.61625
187.0082,24.52636
180.2158,24.7191
174.9886,24.78695
159.3113,23.93544
151.7088,24.99861
146.361,27.38432
137.8887,27.35666
140.4357,30.87881
161.051,31.49485
160.7558,30.98555
163.4704,29.93521
169.5554,28.97317
157.6495,26.37032
152.156,26.91574
138.356,26.73654
120.7414,27.18648
109.084,28.44146
94.1863,29.55221
89.61377,31.32417
84.82254,31.74406
86.70166,32.72334
93.32233,33.10468
96.36474,33.93629
103.8602,32.78915
114.4929,31.87802
125.649,32.16358
135.9287,29.65991
145.7563,28.99672
153.5013,27.9976
147.2118,28.01492
144.7824,26.74481
129.7734,25.9892
120.7506,24.41293
119.8451,23.94109
114.4852,23.1725
114.2237,22.79593
117.0144,24.20486
132.1571,26.13073
156.261,27.36432
181.9221,31.42179
214.8979,32.15184
239.5752,34.80046
240.3167,35.3597
228.0466,33.22268
204.2259,30.81663
191.9864,27.54457
181.3254,25.55341
187.8403,23.91511
184.3144,22.85324
182.2227,24.18084
170.6146,25.18665
137.0424,26.79521
123.3872,28.48792
104.1197,29.42112
99.42398,30.25795
104.9447,30.55827
112.1873,31.02136
118.6146,32.26157
127.8316,34.34081
141.5374,35.46126
144.6718,36.07286
146.4152,34.72767
139.1605,33.68654
126.2404,30.71007
109.8273,29.17083
94.18398,28.30276
92.6857,27.79992
92.23036,27.54183
97.05748,28.31443
106.9585,27.55706
123.4995,27.17597
124.4782,27.2027
137.7397,26.79373
138.4942,26.02728
137.5103,25.83214
136.8655,29.08847
129.5289,29.85112
120.9531,31.49649
110.4698,33.65734
99.71661,31.65917
94.98,28.2157
102.2286,26.76082
108.6622,23.58612
130.0609,23.24832
149.2567,23.29517
164.5616,23.43189
183.9098,25.064
184.0903,25.66182
179.5464,25.08707
182.4955,25.96378
173.0095,25.84842
164.5155,24.42766
165.6789,24.92225
167.0701,24.98781
167.7228,25.94897
154.849,26.99596
152.2234,27.63039
149.4072,28.58284
143.823,29.24858
140.5461,29.53356
151.2736,31.19116
158.7132,32.72166
146.717,32.87235
150.2898,32.47961
150.11,31.70176
153.1374,29.65917
162.5893,27.95696
184.107,26.59028
203.2931,26.78222
207.5192,25.47601
210.8299,26.73884
220.9696,27.59937
